score,label,stratum_population
0.875,match,2500
0.875,match,2500
0.875,match,2500
0.875,match,2500
0.875,match,2500
0.875,match,2500
0.875,match,2500
0.875,match,2500
0.875,match,2500
0.875,match,2500
0.885,match,2500
0.885,match,2500
0.885,match,2500
0.885,match,2500
0.885,match,2500
0.885,match,2500
0.885,match,2500
0.885,match,2500
0.885,match,2500
0.885,match,2500
0.895,match,2500
0.895,match,2500
0.895,non-match,2500
0.895,non-match,2500
0.895,non-match,2500
0.895,non-match,2500
0.895,non-match,2500
0.895,non-match,2500
0.895,non-match,2500
0.895,non-match,2500
0.605,match,15000
0.605,non-match,15000
0.605,non-match,15000
0.605,non-match,15000
0.605,non-match,15000
0.605,non-match,15000
0.605,non-match,15000
0.605,non-match,15000
0.615,match,15000
0.615,non-match,15000
0.615,non-match,15000
0.615,non-match,15000
0.615,non-match,15000
0.615,non-match,15000
0.615,non-match,15000
0.615,non-match,15000
0.625,match,15000
0.625,non-match,15000
0.625,non-match,15000
0.625,non-match,15000
0.625,non-match,15000
0.625,non-match,15000
0.625,non-match,15000
0.625,non-match,15000
0.635,match,15000
0.635,non-match,15000
0.635,non-match,15000
0.635,non-match,15000
0.635,non-match,15000
0.635,non-match,15000
0.635,non-match,15000
0.635,non-match,15000
0.645,match,15000
0.645,non-match,15000
0.645,non-match,15000
0.645,non-match,15000
0.645,non-match,15000
0.645,non-match,15000
0.645,non-match,15000
0.645,non-match,15000
0.655,match,15000
0.655,non-match,15000
0.655,non-match,15000
0.655,non-match,15000
0.655,non-match,15000
0.655,non-match,15000
0.655,non-match,15000
0.655,non-match,15000
0.665,match,15000
0.665,non-match,15000
0.665,non-match,15000
0.665,non-match,15000
0.665,non-match,15000
0.665,non-match,15000
0.665,non-match,15000
0.665,non-match,15000
0.675,match,15000
0.675,non-match,15000
0.675,non-match,15000
0.675,non-match,15000
0.675,non-match,15000
0.675,non-match,15000
0.675,non-match,15000
0.675,non-match,15000
0.685,match,15000
0.685,non-match,15000
0.685,non-match,15000
0.685,non-match,15000
0.685,non-match,15000
0.685,non-match,15000
0.685,non-match,15000
0.685,non-match,15000
0.695,non-match,15000
0.695,non-match,15000
0.695,non-match,15000
0.695,non-match,15000
0.695,non-match,15000
0.695,non-match,15000
0.695,non-match,15000
0.695,non-match,15000
0.305,match,40000
0.305,non-match,40000
0.305,non-match,40000
0.305,non-match,40000
0.305,non-match,40000
0.305,non-match,40000
0.305,non-match,40000
0.315,non-match,40000
0.315,non-match,40000
0.315,non-match,40000
0.315,non-match,40000
0.315,non-match,40000
0.315,non-match,40000
0.315,non-match,40000
0.325,non-match,40000
0.325,non-match,40000
0.325,non-match,40000
0.325,non-match,40000
0.325,non-match,40000
0.325,non-match,40000
0.325,non-match,40000
0.335,non-match,40000
0.335,non-match,40000
0.335,non-match,40000
0.335,non-match,40000
0.335,non-match,40000
0.335,non-match,40000
0.335,non-match,40000
0.345,non-match,40000
0.345,non-match,40000
0.345,non-match,40000
0.345,non-match,40000
0.345,non-match,40000
0.345,non-match,40000
0.345,non-match,40000
0.355,non-match,40000
0.355,non-match,40000
0.355,non-match,40000
0.355,non-match,40000
0.355,non-match,40000
0.355,non-match,40000
0.355,non-match,40000
0.365,non-match,40000
0.365,non-match,40000
0.365,non-match,40000
0.365,non-match,40000
0.365,non-match,40000
0.365,non-match,40000
0.365,non-match,40000
0.375,non-match,40000
0.375,non-match,40000
0.375,non-match,40000
0.375,non-match,40000
0.375,non-match,40000
0.375,non-match,40000
0.375,non-match,40000
0.385,non-match,40000
0.385,non-match,40000
0.385,non-match,40000
0.385,non-match,40000
0.385,non-match,40000
0.385,non-match,40000
0.385,non-match,40000
0.395,non-match,40000
0.395,non-match,40000
0.395,non-match,40000
0.395,non-match,40000
0.395,non-match,40000
0.395,non-match,40000
0.395,non-match,40000
